Country,cc,areaInSqKm,population
Algeria,DZ,2381740.0,34586184
Argentina,AR,2766890.0,41343201
Australia,AU,7686850.0,21515754
Austria,AT,83858.0,8205000
"Austria, Germany, France",DE,357021.0,81802257
Belgium,BE,30510.0,10403000
Brazil,BR,8511965.0,201103330
Bulgaria,BG,110910.0,7148785
Canada,CA,9984670.0,33679000
Chile,CL,756950.0,16746491
China,CN,9596960.0,1330044000
Denmark,DK,43094.0,5484000
Ecuador,EC,283560.0,14790608
Europe,NA,825418.0,2128471
France,FR,547030.0,64768389
Germany,DE,357021.0,81802257
Greece,GR,131940.0,11000000
Hungary,HU,93030.0,9982000
India,IN,3287590.0,1173108018
Indonesia,ID,1919440.0,242968342
Iran,IR,1648000.0,76923300
Ireland,IE,70280.0,4622917
Isle of Man,IM,572.0,75049
Italy,IT,301230.0,60340328
Japan,JP,377835.0,127288000
Latvia,LV,64589.0,2217969
Lithuania,LT,65200.0,2944459
Malta,MT,316.0,403000
"NA",NA,825418.0,2128471
Nepal,NP,140800.0,28951852
Netherlands,NL,41526.0,16645000
New Zealand,NZ,268680.0,4252277
Norway,NO,324220.0,5009150
Poland,PL,312685.0,38500000
Portugal,PT,92391.0,10676000
Romania,RO,237500.0,21959278
Russia,RU,1.71E7,140702000
Serbia,RS,88361.0,7344847
Singapore,SG,692.7,4701069
Slovakia,SK,48845.0,5455000
South Africa,ZA,1219912.0,49000000
Spain,ES,504782.0,46505963
Sri Lanka,LK,65610.0,21513990
Sweden,SE,449964.0,9828655
Sweeden,NA,825418.0,2128471
Switzerland,CH,41290.0,7581000
Taiwan,TW,35980.0,22894384
Turkey,TR,780580.0,77804122
UK,GB,244820.0,62348447
Ukraine,UA,603700.0,45415596
United Kingdom,GB,244820.0,62348447
USA,US,9629091.0,310232863
Venezuela,VE,912050.0,27223228
